#longitude,latitude,distance,bathymetry
142.153802427,37.3348454094,100000.055107,-976.98890649
142.156625176,37.3348776594,100250.05509,-979.049922373
142.159447927,37.3349098423,100500.055072,-981.775378464
142.162270681,37.3349419582,100750.055053,-983.933261174
142.165093437,37.3349740069,101000.055034,-985.961177681
142.167916196,37.3350059887,101250.055014,-988.664593534
142.170738956,37.3350379034,101500.054994,-991.36894911
142.17356172,37.335069751,101750.054972,-994.07817767
142.176384485,37.3351015315,102000.054951,-996.828595569
142.179207253,37.335133245,102250.054929,-999.075609452
142.182030024,37.3351648915,102500.054906,-1000.82369558
142.184852796,37.3351964708,102750.054882,-1002.07558893
142.187675571,37.3352279832,103000.054858,-1003.44022018
142.190498349,37.3352594284,103250.054833,-1004.51377568
142.193321129,37.3352908066,103500.054808,-1005.07032018
142.196143911,37.3353221177,103750.054782,-1006.25544633
142.198966695,37.3353533618,104000.054756,-1007.58814374
142.201789482,37.3353845388,104250.054729,-1008.88621408
142.204612271,37.3354156488,104500.054701,-1010.84817713
142.207435062,37.3354466917,104750.054673,-1012.5576425
142.210257856,37.3354776675,105000.054644,-1013.78973864
142.213080652,37.3355085762,105250.054615,-1015.78133477
142.21590345,37.3355394179,105500.054585,-1017.48329978
142.218726251,37.3355701926,105750.054555,-1018.69389844
142.221549054,37.3356009002,106000.054524,-1019.91342686
142.224371859,37.3356315407,106250.054492,-1021.60862084
142.227194666,37.3356621141,106500.05446,-1023.62326268
142.230017476,37.3356926205,106750.054427,-1025.01685125
142.232840288,37.3357230599,107000.054394,-1025.88837033
142.235663102,37.3357534321,107250.05436,-1026.41158247
142.238485919,37.3357837373,107500.054325,-1027.03081857
142.241308737,37.3358139755,107750.05429,-1027.65126411
142.244131558,37.3358441465,108000.054254,-1028.2707947
142.246954382,37.3358742505,108250.054218,-1028.89012396
142.249777207,37.3359042875,108500.054181,-1029.619667
142.252600035,37.3359342574,108750.054144,-1029.98938241
142.255422865,37.3359641602,109000.054106,-1029.24062543
142.258245697,37.335993996,109250.054068,-1028.63672942
142.261068532,37.3360237646,109500.054029,-1027.84779676
142.263891368,37.3360534663,109750.053989,-1026.42389203
142.266714207,37.3360831008,110000.053949,-1024.90418055
142.269537048,37.3361126683,110250.053908,-1023.13963079
142.272359891,37.3361421688,110500.053867,-1021.04478219
142.275182737,37.3361716022,110750.053825,-1018.41349522
142.278005584,37.3362009685,111000.053783,-1015.91073541
142.280828434,37.3362302677,111250.05374,-1013.9487121
142.283651286,37.3362594999,111500.053696,-1011.32585497
142.286474141,37.336288665,111750.053652,-1008.8648018
142.289296997,37.336317763,112000.053608,-1006.88642521
